Class ID,Class Name,AP@0.5,AP@0.5:0.95
10,military_aircraft,0.820561102838498,0.5933373487963423
2,military_tank,0.8159197048313345,0.5151918298081345
0,camouflage_soldier,0.6741993578504529,0.3296780785301907
6,soldier,0.6293154554228992,0.328922313367329
1,weapon,0.4788366445555296,0.31898764483496855
3,military_truck,0.40350748708003337,0.2524271531290555
4,military_vehicle,0.39512702780371733,0.28406593169133026
7,civilian_vehicle,0.2552843717671501,0.1341926700205644
8,military_artillery,0.21094267482463191,0.1136252114446105
5,civilian,0.0,0.0
9,trench,0.0,0.0
11,military_warship,0.0,0.0
